contact_id,first_name,last_name,contact_email,mobile_phone,company_domain,name_embedding
55,Toni,Hoffman,ashley01@example.org,+15036056111,oliver.com,
56,Kathleen,Webb,melissapowell@example.com,+13490867039,oliver.com,
57,Tony,Banks,ksanchez@example.com,+15632963642,strong.com,
58,Morgan,Andrews,arogers@example.net,+13947509254,oliver.com,
59,Dana,Young,robertbrown@example.org,+17956967791,strong.com,
60,Matthew,Bonilla,michael43@example.net,+15380286326,nichols-rivera.com,
61,Karen,Smith,megan03@example.org,+15287906906,nichols-rivera.com,
62,Jimmy,Lee,zhill@example.com,+17995615575,oliver.com,
63,Andrea,Smith,sharvey@example.net,+13939081240,oliver.com,
64,Joseph,Owen,allenbryan@example.org,+14338029748,sanchez.com,
65,Marvin,Knapp,rclark@example.org,+14157800803,nichols-rivera.com,
66,Robert,Jennings,richard91@example.org,+12119429003,strong.com,
67,Stephanie,Patel,thomasgonzales@example.org,+19685634939,garcia.com,
68,Victor,Peterson,xkramer@example.net,+11348826167,nichols-rivera.com,
69,Christopher,Marquez,allison61@example.com,+13801752269,adams.com,
70,Shannon,Wilson,adrian80@example.com,+16819473272,oliver.com,
71,Philip,Jones,kimortiz@example.org,+16245969456,garcia.com,
72,Robert,Blankenship,umichael@example.net,+18147229190,adams.com,
73,Janet,Jenkins,kelseypowers@example.org,+19322441651,oliver.com,
74,Pamela,Carter,robin38@example.org,+14967737998,garcia.com,
75,Benjamin,Obrien,smithjames@example.org,+13403575961,garcia.com,
76,Rebecca,Massey,raymonddavid@example.com,+16284605339,oliver.com,
77,Curtis,Kim,andreasanchez@example.net,+17993690149,adams.com,
78,Erin,Briggs,barrettnichole@example.org,+12063632843,garcia.com,
79,Nathan,Galvan,latkinson@example.org,+13770759532,sanchez.com,
80,Jennifer,Barron,jasmine74@example.com,+12372915297,oliver.com,
81,Erika,Huang,martinlindsey@example.org,+11339125325,sanchez.com,
82,Chad,Anderson,garymendoza@example.org,+11718695246,adams.com,
83,Maria,Gross,colemanjohn@example.org,+18545651459,adams.com,
84,David,Phelps,larryholt@example.net,+11370573883,sanchez.com,
85,Kimberly,Green,tgibson@example.org,+15774223954,adams.com,
86,Wanda,Benjamin,mariaweiss@example.net,+16473085814,strong.com,
87,Alexander,Tran,murphykelly@example.net,+12472903819,oliver.com,
88,Michael,Jones,hkennedy@example.org,+15077858313,garcia.com,
89,Christopher,Webb,ydavis@example.net,+16419817595,strong.com,
90,Caleb,Perez,orichards@example.net,+15408810599,adams.com,
91,Frank,Pratt,maryruiz@example.com,+15969746334,sanchez.com,
92,Erik,Ford,cpadilla@example.com,+16809225426,oliver.com,
93,Bernard,Smith,steven18@example.net,+15606003247,adams.com,
94,Stephanie,Molina,oarias@example.net,+13718465564,adams.com,
95,Justin,Powers,andrewvelazquez@example.org,+18245320693,oliver.com,
96,Erin,Lucas,martineztimothy@example.com,+11550750444,strong.com,
97,Rodney,King,shirleyyoung@example.org,+13193765942,nichols-rivera.com,
98,Michelle,Evans,daniel04@example.com,+16772893687,oliver.com,
99,James,Waters,jaredsmith@example.com,+16198902070,strong.com,
100,Shelby,Marquez,jenniferclark@example.com,+12064100621,nichols-rivera.com,
